table_name	column_name	data_type	column_descr							
act_table_full	act_id	integer(32)	Unique id for activity data							
act_table_full	struct_id	integer(32)	DrugCentral structure id for drugs							
act_table_full	target_id	integer(32)	DrugCentral target id for targets							
act_table_full	target_name	character varying(200)	Target name							
act_table_full	target_class	character varying(50)	Protein target class							
act_table_full	accession	character varying(1000)	Unique entry identifier from UniProtKB							
act_table_full	gene	character varying(1000)	Name of the gene encoding the protein from UniProtKB							
act_table_full	swissprot	character varying(1000)	Entry name identifier from UniProtKB							
act_table_full	act_value	double precision(53)	Bioactivity data extracted from different sources							
act_table_full	act_unit	character varying(100)	Bioactivity measurement unit type							
act_table_full	act_type	character varying(100)	Bioactivity measurement type							
act_table_full	act_comment	character varying(1000)	Short description of the bioactivity data, e.g. assay type, measurement, conditions, etc							
act_table_full	act_source	character varying(100)	Source of the bioactivity data							
act_table_full	relation	character varying(5)	Mathematical identifier							
act_table_full	moa	smallint(16)	Mechanism of action of the drug							
act_table_full	moa_source	character varying(100)	Mechanism of action source							
act_table_full	act_source_url	character varying(500)	The URL for the source of the bioactivity data							
act_table_full	moa_source_url	character varying(500)	The URL for the source of the mechanism of action for a drug							
act_table_full	action_type	character varying(50)	Pharmacological action type							
act_table_full	first_in_class	smallint(16)	First in class drug annotation							
act_table_full	tdl	character varying(500)	Target development level, as defined at http://juniper.health.unm.edu/tcrd/							
act_table_full	act_ref_id	integer(32)	Unique identifier of the bioactivity data reference							
act_table_full	moa_ref_id	integer(32)	Unique identifier of the reference for the mechanism of action							
act_table_full	organism	character varying(150)	The species expressing the target							
action_type	id	integer(32)	Unique identifier of the pharmacological action type							
action_type	action_type	character varying(50)	Pharmacological action type							
action_type	description	character varying(200)	Short description of each pharmacological action type							
action_type	parent_type	character varying(50)	Pharmacological action type of the parent molecule							
active_ingredient	id	integer(32)	DrugCentral unique identifier for active ingredient entry extracted from DailyMed data							
active_ingredient	active_moiety_unii	character varying(20)	UNII moiety code of the active substance extracted from DailyMed data							
active_ingredient	active_moiety_name	character varying(4000)	UNII moiety nameof the active substance extracted from DailyMed data							
active_ingredient	unit	character varying(20)	Measurement unit type							
active_ingredient	quantity	double precision(53)	The amount of active ingredient							
active_ingredient	substance_unii	character varying(20)	UNII code of the active substance extracted from DailyMed data							
active_ingredient	substance_name	character varying(4000)	Active substance name extracted from DailyMed data							
active_ingredient	ndc_product_code	character varying(20)	FDA NDC code of the drug product extracted from DailyMed data							
active_ingredient	struct_id	integer(32)	DrugCentral structure id mapped to the active substance							
active_ingredient	quantity_denom_unit	character varying(20)	Unit type for the quantitiy of the active substance in the drug product (DailyMed)							
active_ingredient	quantity_denom_value	double precision(53)	Quantitiy value of the active substance in the drug product (DailyMed)							
approval	id	integer(32)	Unique identifier for the approval entry							
approval	struct_id	integer(32)	DrugCentral structure id for drug							
approval	approval	date(3)	Approval date of the drug							
approval	type	character varying(200)	Approval agency							
approval	applicant	character varying(100)	The name of the applicant							
approval	orphan	boolean	Orphan status							
approval_type	id	integer(32)	Unique DrugCentral identifier for the indexed approval agencies							
approval_type	descr	character varying(200)	The name of the approval agengies indexed in DrugCentral							
atc	id	integer(32)	DrugCentral identifier for the ATC codes							
atc	code	character(7)	The ATC code of the specific drug							
atc	chemical_substance	character varying(250)	The drug name							
atc	l1_code	character(1)	The ATC level 1 of the drug							
atc	l1_name	character varying(200)	The corresponding name of the level 1 ATC code of the drug							
atc	l2_code	character(3)	The ATC level 2 of the drug							
atc	l2_name	character varying(200)	The corresponding name of the level 2 ATC code of the drug							
atc	l3_code	character(4)	The ATC level 3 of the drug							
atc	l3_name	character varying(200)	The corresponding name of the level 3 ATC code of the drug							
atc	l4_code	character(5)	The ATC level 4 of the drug							
atc	l4_name	character varying(200)	The corresponding name of the level 4 ATC code of the drug							
atc	chemical_substance_count	integer(32)	Number of active substances in the drug product							
atc_ddd	id	integer(32)	Unique identifier for the entry							
atc_ddd	atc_code	character(7)	The corresponding ATC code of the drug							
atc_ddd	ddd	real(24)	Defined daily dose							
atc_ddd	unit_type	character varying(10)	Measurement unit type							
atc_ddd	route	character varying(20)	Administration route of the drug							
atc_ddd	comment	character varying(100)	Remarks regarding the drug or administration route							
atc_ddd	struct_id	integer(32)	DrugCentral structure id for drug							
attr_type	id	integer(32)	Unique identifier for the entry							
attr_type	name	character varying(100)	Attribute name							
attr_type	type	character varying(20)	Data type of the attribute (e.g., STRING)							
data_source	src_id	smallint(16)	Unique identifier for each entry							
data_source	source_name	character varying(100)	Name of the source for bioactivity data							
dbversion	version	bigint(64)	Version of the database							
dbversion	dtime	timestamp without time zone(6)	Time and date of the version release							
ddi	id	integer(32)	Unique identifier for each  entry of the table							
ddi	drug_class1	character varying(500)	Drug-drug interaction class 1							
ddi	drug_class2	character varying(500)	Drug-drug interaction class 2							
ddi	ddi_ref_id	integer(32)	Drug-drug interaction reference 							
ddi	ddi_risk	character varying(200)	Risk assement of the drug-drug interaction							
ddi	description	character varying(4000)	Description of the drug-drug interaction							
ddi	source_id	character varying(200)	Drug class interactions as DDI sources							
ddi_risk	id	integer(32)	Unique identifier for each risk class							
ddi_risk	risk	character varying(200)	Name of the risk classes							
ddi_risk	ddi_ref_id	integer(32)	Reference for the DDI risk							
doid	id	integer(32)	Unique identifier for each  entry of the table							
doid	label	character varying(1000)	Disease name							
doid	doid	character varying(50)	Disease ontology ID							
doid	url	character varying(100)	URL link of the disease to the Disease Ontology DB							
doid_xref	id	integer(32)	Table identifier for each entry							
doid_xref	doid	character varying(50)	Disease ontology ID							
doid_xref	source	character varying(50)	Source for the data							
doid_xref	xref	character varying(50)	External reference id of the medical term							
drug_class	id	integer(32)	Table identifier for each entry							
drug_class	name	character varying(500)	Drug class name							
drug_class	is_group	smallint(16)	1/0 if group or not							
drug_class	source	character varying(100)	Source for the data							
faers	id	integer(32)	Table identifier for each entry							
faers	struct_id	integer(32)	DrugCentral structure id for drug							
faers	meddra_name	character varying(200)	MEDDRA term for the disease							
faers	meddra_code	bigint(64)	MEDDRA code for the disease							
faers	level	character varying(5)	Class of the MEDDRA term							
faers	llr	double precision(53)	Likelihood Ratio based on method described in http://dx.doi.org/10.1198/jasa.2011.ap10243							
faers	llr_threshold	double precision(53)	Likelihood Ratio threshold based on method described in http://dx.doi.org/10.1198/jasa.2011.ap10243							
faers	drug_ae	integer(32)	Number of patients taking drug and having adverse event							
faers	drug_no_ae	integer(32)	Number of patients taking drug and not having adverse event							
faers	no_drug_ae	integer(32)	Number of patients not taking drug and having adverse event							
faers	no_drug_no_ae	integer(32)	Number of patients not taking drug and not having adverse event							
faers_female	id	integer(32)	Table identifier for each entry							
faers_female	struct_id	integer(32)	DrugCentral structure id for drug							
faers_female	meddra_name	character varying(200)	MEDDRA term for the disease							
faers_female	meddra_code	bigint(64)	MEDDRA code for the disease							
faers_female	level	character varying(5)	Class of the MEDDRA term							
faers_female	llr	double precision(53)	Likelihood Ratio based on method described in http://dx.doi.org/10.1198/jasa.2011.ap10243							
faers_female	llr_threshold	double precision(53)	Likelihood Ratio threshold based on method described in http://dx.doi.org/10.1198/jasa.2011.ap10243							
faers_female	drug_ae	integer(32)	Number of female patients taking drug and having adverse event							
faers_female	drug_no_ae	integer(32)	Number of female patients taking drug and not having adverse event							
faers_female	no_drug_ae	integer(32)	Number of female patients not taking drug and having adverse event							
faers_female	no_drug_no_ae	integer(32)	Number of female patients not taking drug and not having adverse event							
faers_male	id	integer(32)	Table identifier for each entry							
faers_male	struct_id	integer(32)	DrugCentral structure id for drug							
faers_male	meddra_name	character varying(200)	MEDDRA term for the disease							
faers_male	meddra_code	bigint(64)	MEDDRA code for the disease							
faers_male	level	character varying(5)	Class of the MEDDRA term							
faers_male	llr	double precision(53)	Likelihood Ratio based on method described in http://dx.doi.org/10.1198/jasa.2011.ap10243							
faers_male	llr_threshold	double precision(53)	Likelihood Ratio threshold based on method described in http://dx.doi.org/10.1198/jasa.2011.ap10243							
faers_male	drug_ae	integer(32)	Number of male patients taking drug and having adverse event							
faers_male	drug_no_ae	integer(32)	Number of male patients taking drug and not having adverse event							
faers_male	no_drug_ae	integer(32)	Number of male patients not taking drug and having adverse event							
faers_male	no_drug_no_ae	integer(32)	Number of male patients not taking drug and not having adverse event							
faers_top	struct_id	integer(32)	DrugCentral structure id for drug							
faers_top	meddra_name	character varying(200)	MEDDRA term for the disease							
id_type	id	integer(32)	Unique id for bioactivity databases linked to DrugCentreal							
id_type	type	character varying(50)	Name of the identifier linked to DrugCentral							
id_type	description	character varying(500)	Name of the source database							
id_type	url	character varying(500)	Link url to the webpage of the database							
identifier	id	integer(32)	Table identifier for each entry							
identifier	identifier	character varying(50)	Identifier extracted from the linked databases							
identifier	id_type	character varying(50)	Identifier type							
identifier	struct_id	integer(32)	DrugCentral structure id for drug							
identifier	parent_match	boolean	signals parent molecules for the identifier							
inn_stem	id	integer(32)	Table identifier for each entry							
inn_stem	stem	character varying(50)	STEM							
inn_stem	definition	character varying(1000)	STEM definition							
inn_stem	national_name	character varying(20)	STEM source							
inn_stem	length	smallint(16)	STEM length in characters							
inn_stem	discontinued	boolean	STEM status, boolean value							
label	id	character varying(50)	Label ID							
label	category	character varying(100)	Label type							
label	title	character varying(1000)	Drug name							
label	effective_date	date(3)	Label issued date							
label	assigned_entity	character varying(500)	The entity issuing the label							
label	pdf_url	character varying(500)	Link url to the label pdf							
lincs_signature	id	integer(32)	Unique ID for lincs data							
lincs_signature	struct_id1	integer(32)	First drug structure id 							
lincs_signature	struct_id2	integer(32)	Second drug structure id 							
