Primary Table	Column name	Column description	Data Type
affiliate	id	TCRD identifier, Primary key	int(10) unsigned
affiliate	source	Source name	varchar(255)
affiliate	display_name	Source display name	varchar(255)
affiliate	description	Source description	varchar(255)
alias	id	Alias identifier, Primary key	int(11)
alias	protein_id	Foreign key to column id in table protein	int(11)
alias	type	Alias type	enum('symbol','uniprot')
alias	value	String containing the target alias (synonym) value	varchar(255)
alias	dataset_id	Foreign key to column id in table dataset.	int(11)
ancestry_do	oid	Foreign key to column doid in table do	varchar(12)
ancestry_do	ancestor_id	Foreign key to column doid in table do	varchar(12)
ancestry_dto	oid	Foreign key to column dtoid in table dto	varchar(255)
ancestry_dto	ancestor_id	Foreign key to column dtoid in table dto	varchar(255)
ancestry_mondo	oid	Foreign key to column mondoid in table mondo	varchar(20)
ancestry_mondo	ancestor_id	Foreign key to column mondoid in table mondo	varchar(20)
ancestry_uberon	oid	Foreign key to column uid in table uberon	varchar(20)
ancestry_uberon	ancestor_id	Foreign key to column uid in table uberon	varchar(20)
cmpd_activity	id	TCRD compound identifier and Primary key	int(11)
cmpd_activity	target_id	Foreign key to column id in table target	int(11)
cmpd_activity	catype	Foreign key to column name in table cmpd_activity_type	varchar(255)
cmpd_activity	cmpd_id_in_src	Source compound ID	varchar(255)
cmpd_activity	cmpd_name_in_src	Source compound name	text
cmpd_activity	smiles	Compound structure in SMILES format	text
cmpd_activity	act_value	Bioactivity measurement value	decimal(10,8)
cmpd_activity	act_type	Bioactivity measurement type	varchar(255)
cmpd_activity	reference	Literature reference	text
cmpd_activity	pubmed_ids	PubMed IDs	text
cmpd_activity	cmpd_pubchem_cid	PubChem CID	int(11)
cmpd_activity	lychi_h4	The NCATS Layered Chemical Identifier (LyChI)	varchar(15)
cmpd_activity_type	name	Name of the source for the compound activity data	varchar(255)
cmpd_activity_type	description	Description of the source for the compound activity data	text
data_type	name	Data type name and Primary key	varchar(7)
dataset	id	TCRD identifier and Primary key	int(11)
dataset	name	Name of the dataset	varchar(255)
dataset	source	source of the dataset	text
dataset	app	Application used for the dataset	varchar(255)
dataset	app_version	Version of the application	varchar(255)
dataset	datetime	Updated date and time	timestamp
dataset	url	URL for the application	text
dataset	comments	Comments on dataset	text
dbinfo	dbname	Name of the database	varchar(16)
dbinfo	schema_ver	Version of the database schema	varchar(16)
dbinfo	data_ver	Version of the data	varchar(16)
dbinfo	owner	Name of the owner	varchar(16)
dbinfo	is_copy	Indicates if the database is copy of any other database	tinyint(1)
dbinfo	dump_file	Database dump file	varchar(64)
disease	id	Primary key	int(11)
disease	dtype	Foreign key to column name in table disease_type.	varchar(255)
disease	protein_id	Foreign key to column id in table protein.	int(11)
disease	nhprotein_id	Foreign key to column id in table nhprotein.	int(11)
disease	name	Disease name	text
disease	ncats_name	NCATS disease name	text
disease	did	"Disease identifier (DOID, UMLS, MESH, AmyCo, OrphaNet, or NCBIGene)	"	varchar(20)
disease	evidence	"Evidence of association between target and disease	"	text
disease	zscore	Standard score for the strength of association between target and disease	decimal(5,3)
disease	conf	Confidence level for the strength of association between target and disease	decimal(2,1)
disease	description	Disease description	text
disease	reference	Empty (reserved for future use)	varchar(255)
disease	drug_name	"Drug indicated for a specific disease, having a pharmacological mechanism of action by acting of a specific target	"	text
disease	log2foldchange	"Differential expression log2 fold-change for differentially expressed gene in disease patient tissue versus matched normal tissue in Expression Atlas	"	decimal(5,3)
disease	pvalue	p-value for differentially expressed gene in disease patient tissue versus matched normal tissue in Expression Atlas	varchar(255)
disease	score	DisGeNET score for gene-disease association	decimal(16,15)
disease	source	Source of target-disease association	varchar(255)
disease	O2S	Monarch object-to-subject score	decimal(16,13)
disease	S2O	Monarch subject-to-object score	decimal(16,13)
disease	mondoid	Foreign key to column mondoid in table mondo	varchar(20)
disease	updated	?	tinyint(1)
disease_type	name	Name of the source for the target-disease association  data	varchar(255)
disease_type	description	Description of the source for the target-disease association data	text
do	doid	Disease ontology identifier (from https://disease-ontology.org) 	varchar(12)
do	name	Disease name	text
do	def	Disease definitio	text
do_parent	doid	Disease identifier (foreign key to column doid in table do)	varchar(12)
do_parent	parent_id	Parent disease identifier (foreign key to column doid in table do)	varchar(12)
drgc_resource	id	TCRD identifier for the drgc_resource table containing links and metadata about the resources generated by the Illuminating the druggable genome (IDG) experimental data and resource generation centers (DRGC)	int(11)
drgc_resource	rssid	Resource Submission System (RSS) identifier	text
drgc_resource	resource_type	Resource type	varchar(255)
drgc_resource	target_id	Foreign key to column id in table target.	int(11)
drgc_resource	json	Resource metadata in json format	text
drug_activity	id	TCRD drug activity identifier	int(11)
drug_activity	target_id	Foreign key to column id in table target.	int(11)
drug_activity	drug	Drug name	varchar(255)
drug_activity	act_value	Bioactivity measurement value	decimal(10,8)
drug_activity	act_type	Bioactivity measurement type	varchar(255)
drug_activity	action_type	Pharmacological action type	varchar(255)
drug_activity	has_moa	Boolean flag indicating whether or not the drug has a Mechanism of Action as defined by DrugCentral	tinyint(1)
drug_activity	source	Source of knowledge	varchar(255)
drug_activity	reference	Source URL	text
drug_activity	smiles	Drug structure in SMILES format	text
drug_activity	cmpd_chemblid	ChEMBL molecule ID	varchar(255)
drug_activity	nlm_drug_info	Drug mechanism of action (where available) as described in the drug label.	text
drug_activity	cmpd_pubchem_cid	PubChem CID	int(11)
drug_activity	dcid	DrugCentral ID (drug compound)	int(11)
drug_activity	lychi_h4	The NCATS Layered Chemical Identifier (LyChI) is a chemical standardization tool that generates a unique hash for chemicals that is layered and used for quick fuzzy uniqueness checks and searches. A unique feature of the LyChI hash keys is that they are, to a certain extent, lexicologically meaningful (https://github.com/ncats/lychi). Level 4 of the identifier is used here.	varchar(15)
dto	dtoid	Drug Target Ontology (DTO) identifier (from http://drugtargetontology.org/)	varchar(255)
dto	name	DTO term name	text
dto	parent_id	DTO identifier for parent term (foreign key to column dtoid in table dto)	varchar(255)
dto	def	DTO term definition	text
expression	id	TCRD identifier for expression table	int(11)
expression	etype	Foreign key to column name in table expression_type.	varchar(255)
expression	protein_id	Foreign key to column id in table protein.	int(11)
expression	source_id	?	varchar(20)
expression	tissue	Tissue where expression was measured	varchar(255)
expression	tissue_id	Foreign key to column id in table tissue.	int(11)
expression	qual_value	Qualitative level of expression	enum('Not detected','Low','Medium','High')
expression	number_value	Numeric value of expression	decimal(12,6)
expression	expressed	Binary expression flag (1 or 0)	tinyint(4)
expression	source_rank	Rank among expression values (qual_value)	decimal(12,6)
expression	evidence	Level of evidence	varchar(255)
expression	oid	Tissue ontology ID	varchar(20)
expression	uberon_id	Foreign key to column uid in table uberon.	varchar(20)
extlink	id	TCRD external link identifier	int(11)
extlink	protein_id	Foreign key to column id in table protein	int(11)
extlink	source	Source of external link	enum('GlyGen','Prokino','Dark Kinome','Reactome','ClinGen','GENEVA','TIGA','RESOLUTE','ARCHS4','PubChem')
extlink	url	URL of external link	text
gene_attribute	id	TCRD identifier for gene_attribute table	int(11)
gene_attribute	protein_id	Foreign key to column id in table protein.	int(11)
gene_attribute	gat_id	Foreign key to column id in table gene_attribute_type.	int(11)
gene_attribute	name	Gene attribute name	text
gene_attribute	value	Gene attribute value	int(11)
gene_attribute_type	id	TCRD identifier for the gene_attribute_type table	int(11)
gene_attribute_type	name	Name of data source for gene attribute types	varchar(255)
gene_attribute_type	association	Type of association	text
gene_attribute_type	description	Description of data source	text
gene_attribute_type	resource_group	Type of data source	enum('omics','genomics','proteomics','physical interactions','transcriptomics','structural or functional annotations','disease or phenotype associations')
gene_attribute_type	measurement	Type of measurement or literature curation to establish association	varchar(255)
gene_attribute_type	attribute_group	Gene attribute group	varchar(255)
gene_attribute_type	attribute_type	Gene attribute type	varchar(255)
gene_attribute_type	pubmed_ids	Pubmed IDs of reference papers	text
gene_attribute_type	url	URL of data source	text
generif	id	TCRD identifier for the Gene Reference into Function table	int(11)
generif	protein_id	Foreign key to column id in table protein.	int(11)
generif	gene_id	TCRD identifier	int(11)
generif	text	Gene Reference into Function (GeneRIF) text	text
generif	date	"Date when the reference papers were published 	"	datetime
generif2pubmed	generif_id	Foreign key to column id in table generif.	int(11)
generif2pubmed	pubmed_id	PubMed ID	int(11)
goa	id	TCRD identifier for the Gene Ontology table	int(11)
goa	protein_id	Foreign key to column id in table protein.	int(11)
goa	go_id	GO term id	varchar(255)
goa	go_term	GO term name	text
goa	evidence	Type of evidence	text
goa	goeco	Evidence and Conclusion Ontology (ECO) terms that describe types of evidence and assertion methods as described at https://evidenceontology.org/	varchar(255)
goa	assigned_by	Data source for GO term	varchar(50)
goa	go_type	Type of GO term	enum('Component','Function','Process')
goa	go_term_text	GO term text	text
gtex	id	TCRD identifier for the Genotype-Tissue Expression (GTEx) table	int(11)
gtex	protein_id	Foreign key to column id in table protein	int(11)
gtex	tissue	GTEx tissue name	text
gtex	tpm	Gene and transcript expression shown in Transcripts Per Million (TPM) units	decimal(12,6)
gtex	tpm_female	Transcripts per million (TPM) - female	decimal(12,6)
gtex	tpm_female_rank	Female Rank percentile [0-1]	decimal(4,3)
gtex	tpm_male	Transcripts per million (TPM) - male	decimal(12,6)
gtex	tpm_male_rank	Male Rank percentile [0-1]	decimal(4,3)
gtex	tpm_rank	Rank percentile [0-1]	decimal(4,3)
gtex	uberon_id	UBERON ID for tissue	varchar(20)
gwas	id	TCRD identifier for the Genome Wide Association Studies (GWAS) data table	int(11)
gwas	protein_id	Foreign key to column id in table protein.	int(11)
gwas	disease_trait	TCRD identifier for the GWAS table	varchar(255)
gwas	snps	SNP IDs (RefSNP or other)	text
gwas	pmid	PubMed ID	int(11)
gwas	study	Study name	text
gwas	context	SNP functional class	text
gwas	intergenic	Is SNP integenic?	tinyint(1)
gwas	p_value	p-value for association	double
gwas	or_beta	Odds ratio (OR) or Beta value as measures of effect size	float
gwas	cnv	Copy number variation	char(1)
gwas	mapped_trait	EFO mapped trait (name)	text
gwas	mapped_trait_uri	EFO mapped trait (URI)	text
hgram_cdf	id	TCRD identifier for the Harmonogram CDF data	int(11)
hgram_cdf	protein_id	Foreign key to column id in table protein.	int(11)
hgram_cdf	type	Foreign key to column name in table gene_attribute_type.	varchar(255)
hgram_cdf	attr_count	Gene attribute count	int(11)
hgram_cdf	attr_cdf	Gene attribute CDF (cummulative distribution function)	decimal(17,16)
info_type	name	Name of the info_type and Primary key	varchar(255)
info_type	data_type	Foreign key to column name in data_type.	varchar(7)
info_type	unit	Unit of information value	varchar(255)
info_type	description	Description of the info_type	text
input_version	source_key	TCRD identifier and Primary key	varchar(45)
input_version	data_source	Source of the data	varchar(45)
input_version	file_key	Primary key	varchar(45)
input_version	file	File containing data of the source	varchar(256)
input_version	version	Version of the file	varchar(45)
input_version	release_date	File released date	date
input_version	download_date	File downloaded date	date
kegg_distance	id	TCRD identifier for kegg_distance table	int(11)
kegg_distance	pid1	Foreign key to column id in table protein.	int(11)
kegg_distance	pid2	Foreign key to column id in table protein.	int(11)
kegg_distance	distance	Shortest path distance from KEGG Pathways between two proteins	int(11)
kegg_nearest_tclin	id	TCRD identifier for kegg_nearest_tclin table	int(11)
kegg_nearest_tclin	protein_id	Foreign key to column id in table protein.	int(11)
kegg_nearest_tclin	tclin_id	Foreign key to column id in table target	int(11)
kegg_nearest_tclin	direction	Direction to nearest Tclin target	enum('upstream','downstream')
kegg_nearest_tclin	distance	Distance to neareast upstream and downstream Tclin from KEGG Pathways	int(11)
