"id","UniProt"
1,"P32929"
2,"A4D0Y5"
3,"Q49A92"
4,"Q9UFW8"
5,"Q96K31"
6,"O14646"
7,"Q8IWX8"
8,"Q99653"
9,"O94983"
10,"Q8NA66"
11,"Q96M20"
12,"Q86VU5"
13,"P42695"
14,"Q8IYT2"
15,"Q9NSA3"
16,"Q96KP4"
17,"Q13956"
18,"O95476"
19,"Q9BYD5"
20,"Q969H4"
21,"Q6P9H4"
22,"O95406"
23,"Q3B7I2"
24,"P18545"
25,"Q9P232"
26,"Q6PJW8"
27,"P26992"
28,"Q9NXG0"
29,"Q8N8G6"
30,"Q8N910"
31,"H3BRN8"
32,"Q01955"
33,"P06681"
34,"P27658"
35,"P02461"
36,"P0C0L5"
37,"P20908"
38,"P25940"
39,"Q9H4G8"
40,"P02748"
41,"Q9GZY4"
42,"P10643"
43,"Q7L8W6"
44,"Q9BTV6"
45,"Q13057"
46,"P00414"
47,"Q9NRP2"
48,"O60397"
49,"Q6UWD8"
50,"Q6ZW13"
51,"O43174"
52,"P22680"
53,"P05177"
54,"O43809"
55,"Q02318"
56,"Q16678"
57,"Q6UW02"
58,"P10635"
59,"P05813"
60,"Q9NQ79"
61,"P43320"
62,"Q96RY5"
63,"O94985"
64,"Q9GZN8"
65,"Q8N8Q3"
66,"Q9H4G1"
67,"Q5W188"
68,"Q5W186"
69,"Q9HC47"
70,"Q96RT6"
71,"Q8IX95"
72,"Q53GD3"
73,"O43310"
74,"Q8NCS7"
75,"Q8WVB6"
76,"P26232"
77,"A4FU28"
78,"P29279"
79,"P52569"
80,"Q8WZ74"
81,"Q7RTX7"
82,"Q9N2K0"
83,"O42043"
84,"Q6ZRH7"
85,"Q9NTU4"
86,"Q69384"
87,"P61567"
88,"Q902F8"
89,"Q9H0I2"
90,"P58513"
91,"P58512"
92,"Q8TCZ7"
93,"P59091"
94,"O60494"
95,"A0A1B0GTU2"
96,"A0A1B0GV90"
97,"O60888"
98,"P06733"
99,"P39880"
100,"Q6ZV56"
101,"P13929"
102,"P09104"
103,"Q02221"
104,"P14854"
105,"Q969M2"
106,"P48165"
107,"P35212"
108,"O95452"
109,"P19876"
110,"P08034"
111,"P80162"
112,"P02775"
113,"O75712"
114,"Q96KN9"
115,"P25025"
116,"A6NN92"
117,"P61073"
118,"P00167"
119,"Q9BQA9"
120,"Q9HB71"
121,"P00156"
122,"P00403"
123,"Q7Z7K0"
124,"O14548"
125,"P10632"
126,"P51589"
127,"Q86X59"
128,"A8MU93"
129,"Q96SQ9"
130,"O75718"
131,"O75462"
132,"Q9HC73"
133,"P02489"
134,"Q9Y2W7"
135,"P0DML2"
136,"Q9BV81"
137,"Q9Y3B6"
138,"P50402"
139,"P15509"
140,"Q99062"
141,"Q96A84"
142,"Q8WXE0"
143,"Q7L5N1"
144,"Q9UBW8"
145,"Q99708"
146,"P35221"
147,"Q8WWI5"
148,"A4D2H0"
149,"Q13618"
150,"Q13619"
151,"Q9NTM9"
152,"O14529"
153,"P19875"
154,"P42830"
155,"P32302"
156,"Q9NTQ9"
157,"O43927"
158,"O95715"
159,"Q6UXB2"
160,"O15255"
161,"P49447"
162,"P04839"
163,"Q53TN4"
164,"O95674"
165,"Q5SZL2"
166,"Q2WEN9"
167,"A8MTB9"
168,"Q9UPV0"
169,"A6NDU8"
170,"Q03701"
171,"Q9HCU4"
172,"Q711Q0"
173,"Q16739"
174,"Q96LK0"
175,"Q9BS16"
176,"P07199"
177,"Q9NYQ6"
178,"Q9BU64"
179,"O15182"
180,"Q4VX62"
181,"Q6ZQR2"
182,"Q6P656"
183,"Q8IZ16"
184,"Q6ZUL3"
185,"E5RJ46"
186,"Q96KT6"
187,"Q96MT7"
188,"Q8N6G5"
189,"Q8N1V2"
190,"Q96NF6"
191,"Q5T655"
192,"P61604"
193,"P09622"
194,"Q9BUK0"
195,"Q12873"
196,"Q8TBE1"
197,"Q8IV77"
198,"Q9P003"
199,"Q14028"
200,"P04440"
201,"P51911"
202,"Q86SG4"
203,"Q9NRU3"
204,"Q9BV87"
205,"O75175"
206,"O95628"
207,"P21554"
208,"Q9UHC6"
209,"Q9UFF9"
210,"Q92600"
211,"Q8N137"
212,"Q7Z7A1"
213,"A6NNL5"
214,"Q9BZG8"
215,"P07358"
