DO_ID	ENSEMBL_IDs
DOID:0050589	ENSG00000167207
DOID:0050741	ENSG00000181072|ENSG00000149295|ENSG00000093010|ENSG00000108576|ENSG00000151834
DOID:0110322	ENSG00000172399
DOID:0110397	ENSG00000129535
DOID:0111613	ENSG00000111802
DOID:10016	ENSG00000165731
DOID:10017	ENSG00000133895
DOID:10041	ENSG00000147889
DOID:10126	ENSG00000100987
DOID:1024	ENSG00000112530
DOID:10283	ENSG00000183765|ENSG00000263639|ENSG00000038945|ENSG00000133216|ENSG00000275410|ENSG00000119950|ENSG00000171862|ENSG00000135828|ENSG00000115504|ENSG00000159184|ENSG00000067082|ENSG00000006744
DOID:1040	ENSG00000152213
DOID:10426	ENSG00000156466
DOID:10534	ENSG00000133703|ENSG00000141736|ENSG00000125347|ENSG00000134982|ENSG00000003400|ENSG00000067082|ENSG00000132781
DOID:1056	ENSG00000122126
DOID:10581	ENSG00000197746|ENSG00000100299
DOID:10582	ENSG00000108733|ENSG00000107537
DOID:10584	ENSG00000105392|ENSG00000112619|ENSG00000134376|ENSG00000148204|ENSG00000042317
DOID:10587	ENSG00000054983
DOID:10588	ENSG00000101986
DOID:10591	ENSG00000066468|ENSG00000165730
DOID:10595	ENSG00000109099
DOID:1060	ENSG00000174358
DOID:10604	ENSG00000076003
DOID:10608	ENSG00000111252
DOID:10609	ENSG00000111012|ENSG00000111424|ENSG00000186104
DOID:10611	ENSG00000196352
DOID:1062	ENSG00000171766
DOID:1064	ENSG00000040531
DOID:1067	ENSG00000225950|ENSG00000134987|ENSG00000146926|ENSG00000183735
DOID:1068	ENSG00000138061|ENSG00000034971
DOID:1070	ENSG00000123240
DOID:10772	ENSG00000160323
DOID:10780	ENSG00000187266
DOID:10825	ENSG00000135744|ENSG00000124212
DOID:10871	ENSG00000143341
DOID:10892	ENSG00000169083|ENSG00000013619
DOID:10908	ENSG00000107186|ENSG00000198910|ENSG00000015133
DOID:10923	ENSG00000244734
DOID:10933	ENSG00000108576
DOID:10970	ENSG00000107104|ENSG00000128683
DOID:1099	ENSG00000188536
DOID:11054	ENSG00000174775|ENSG00000139687|ENSG00000068078
DOID:11105	ENSG00000140522|ENSG00000112619|ENSG00000135437
DOID:11119	ENSG00000184903
DOID:11198	ENSG00000184058
DOID:11211	ENSG00000138061|ENSG00000034971
DOID:11383	ENSG00000248099|ENSG00000133105
DOID:11476	ENSG00000162337|ENSG00000108821|ENSG00000125084|ENSG00000102024|ENSG00000205213
DOID:1148	ENSG00000106571|ENSG00000164690|ENSG00000105983
DOID:11512	ENSG00000096968|ENSG00000198734
DOID:11555	ENSG00000196628|ENSG00000171812|ENSG00000148516|ENSG00000273540|ENSG00000152601
DOID:1156	ENSG00000154122
DOID:11589	ENSG00000070061
DOID:11633	ENSG00000151090
DOID:11661	ENSG00000128617
DOID:11712	ENSG00000160789
DOID:11719	ENSG00000100836
DOID:1172	ENSG00000104237|ENSG00000110243|ENSG00000188992
DOID:11721	ENSG00000152556
DOID:11722	ENSG00000152601
DOID:11723	ENSG00000198947|ENSG00000090006
DOID:11725	ENSG00000164190
DOID:11726	ENSG00000102119
DOID:11830	ENSG00000130489|ENSG00000163956|ENSG00000139540|ENSG00000164306|ENSG00000122482
DOID:11836	ENSG00000069011
DOID:11870	ENSG00000186868|ENSG00000080815
DOID:11949	ENSG00000171867
DOID:11975	ENSG00000007372
DOID:11983	ENSG00000182636
DOID:1206	ENSG00000169057|ENSG00000176165
DOID:12117	ENSG00000157765
