DO_ID	UNIPROT_ACs
DOID:0050476	Q16635
DOID:0050589	Q9HC29
DOID:0050741	P08172|P14416|P21964|P31645|P47869
DOID:0110322	Q9NPC6
DOID:0110397	P54845
DOID:0111613	O95551
DOID:10016	P07949
DOID:10017	O00255
DOID:10041	P42771
DOID:10126	Q9NZR4
DOID:1024	Q96M98
DOID:10283	O96017|P08118|P21757|P29323|P35680|P50539|P60484|Q05823|Q8NDI1|Q92826|Q99612|Q9BQ52
DOID:10383	Q9UHD8
DOID:1040	Q969Q4
DOID:10426	Q6KF10
DOID:10534	P01116|P04626|P10914|P25054|Q92851|Q99612|Q9UIF7
DOID:1056	Q01968
DOID:10581	P07602|P15289
DOID:10582	O00623|O14832
DOID:10584	O43186|P23942|P82279|Q5IJ48|Q9P0W8
DOID:10587	P54803
DOID:10588	P33897
DOID:10591	P21802|Q6ZVD7
DOID:10595	Q01453
DOID:1060	Q695T7
DOID:10604	Q14566
DOID:10608	Q9UQQ2
DOID:10609	O15528|P11473|Q6VVX0
DOID:10611	P08174
DOID:1062	P50440
DOID:1064	O60931
DOID:1067	P34130|Q8NI36|Q8WXI3|Q9UHD2
DOID:1068	Q16678|Q99972
DOID:1070	Q96CV9
DOID:10772	Q76LX8
DOID:10780	P19235
DOID:10825	P01019|Q16647
DOID:10871	Q96RW7
DOID:10892	P10275|Q13495
DOID:10908	O75970|P32004|Q9P219
DOID:10923	P68871
DOID:10933	P31645
DOID:10970	Q14678|Q99259
DOID:1099	P69905
DOID:11054	P01112|P06400|P22607
DOID:11105	P12271|P23942|Q92781
DOID:11119	Q96T52
DOID:11198	O43435
DOID:11211	Q16678|Q99972
DOID:11383	P51460|Q8WXD0
DOID:11476	O75197|P02452|P04628|P13797|Q9BXB1
DOID:1148	P10071|Q15465|Q8WVP7
DOID:11512	O60674|P12259
DOID:11555	P15884|P25067|P37275|Q96MI9|Q9NR56
DOID:1156	Q9HCJ1
DOID:11589	O95163
DOID:11633	P10828
DOID:11661	P03999
DOID:11712	P02545
DOID:11719	Q86U42
DOID:1172	P56715|Q6Q788|Q6XZB0
DOID:11721	P08237
DOID:11722	Q9NR56
DOID:11723	P11532|Q8N2S1
DOID:11725	Q6KC79
DOID:11726	P50402
DOID:11830	O43819|P30533|Q6ZMH5|Q96LW4|Q9H582
DOID:11836	P78337
DOID:11870	P10636|P49768
DOID:11949	P04156
DOID:11975	P26367
DOID:11983	Q99608
DOID:1206	P51608|P55316
DOID:12117	O95436
DOID:12120	P07988|P11686|P15509|P32927|Q99758
DOID:12134	P00451
DOID:12169	P02766
DOID:12177	O14836|P11836|P15391|P20023|P50851|P60033|Q00653|Q96RJ3|Q9HBE4|Q9Y6W8
DOID:12217	P37840
DOID:12241	P68871
DOID:12259	P00740
DOID:12270	P26367|Q9Y467
DOID:12271	P26367
DOID:12305	Q9Y6K9
DOID:12306	Q9Y2R2
DOID:12308	Q92887
DOID:12347	P02452|P08123
DOID:12376	Q16637
DOID:12387	P30518|P41181
DOID:12388	P01185
DOID:12449	O14746|O60934|P01579
DOID:12557	P15882
DOID:12558	P54098
DOID:12583	O43435
DOID:1270	P17813|P37023|Q9UK05
DOID:12704	Q13315
DOID:12712	O15259
DOID:12714	P57679|Q86UK5
DOID:12716	P07988|P11686|Q8IWL2
DOID:12798	P35475
DOID:12799	P22304
DOID:12800	P15848
DOID:12803	P08236
DOID:12842	Q01453
DOID:12858	P42858
DOID:12930	P02545
DOID:12960	P21802
DOID:13042	Q12946
DOID:13096	Q9NZK5
DOID:13099	P62736|Q02108
DOID:1312	O43707
DOID:13137	Q16637
DOID:13223	P52926
DOID:1324	P00533|P04626|P04637|P15056|Q14790|Q96BI1|Q9NR99|Q9Y238
DOID:13269	P36551
DOID:13270	P22557|P22830
DOID:13271	P10746
DOID:13359	P02452|P20908
DOID:13372	P01009
DOID:13374	Q04771
DOID:13382	O60494|P00374
DOID:1339	P39019
DOID:13481	P22607
DOID:13482	P31749
DOID:13515	Q92574
DOID:13533	O75197|Q13488
DOID:13543	Q6P1J9
DOID:13636	O15360
DOID:13641	Q08397
DOID:13777	Q7Z403
DOID:1380	P12830|P20585|P40692|P43246|P52701|P60484
DOID:13809	P06858
DOID:13810	P01130|P10912
DOID:1386	P55157
DOID:1388	O95477
