UNIPROT_AC	name	ENSEMBL_ID	GENE_NAME	DO_ID
A0A023IKK2	A0A023IKK2	ENSRNOG00000030431	RT1-Db2	DOID:10003|DOID:1024|DOID:10283|DOID:104|DOID:10608|DOID:10652|DOID:10983|DOID:11335|DOID:11656|DOID:11713|DOID:12029|DOID:1205|DOID:1210|DOID:12297|DOID:12306|DOID:12361|DOID:12662|DOID:12849|DOID:12894|DOID:13025|DOID:13141|DOID:13166|DOID:13241|DOID:13258|DOID:13375|DOID:13774|DOID:1389|DOID:1395|DOID:14040|DOID:14115|DOID:14330|DOID:1459|DOID:1555|DOID:1586|DOID:1612|DOID:1686|DOID:2048|DOID:2377|DOID:2841|DOID:289|DOID:2945|DOID:2957|DOID:2988|DOID:3459|DOID:3492|DOID:399|DOID:417|DOID:437|DOID:4450|DOID:5082|DOID:526|DOID:633|DOID:639|DOID:676|DOID:7147|DOID:7148|DOID:7188|DOID:750|DOID:7693|DOID:8869|DOID:8924|DOID:8929|DOID:8947|DOID:8986|DOID:8991|DOID:9074|DOID:9182|DOID:9415|DOID:9744|DOID:9849
A0A087WPC3	A0A087WPC3	ENSMUSG00000083138	Cyp4a29	DOID:10763
A0A087WPF7	AUTS2	ENSMUSG00000029673	Auts2	DOID:1574
A0A087WS15	A0A087WS15	ENSMUSG00000084346	Cyp4a30b	DOID:10763
A0A096MIX7	A0A096MIX7	ENSRNOG00000000861	Zic3	DOID:758
A0A096MJ68	A0A096MJ68	ENSRNOG00000046699	Slpi	DOID:11612|DOID:2945|DOID:3083|DOID:3525|DOID:5844
A0A096MJE4	A0A096MJE4	ENSRNOG00000054129	Ctla4	DOID:10325|DOID:10608|DOID:11335|DOID:12132|DOID:12236|DOID:12306|DOID:12361|DOID:12365|DOID:12894|DOID:13241|DOID:1612|DOID:1749|DOID:1909|DOID:2043|DOID:2048|DOID:2377|DOID:2513|DOID:2841|DOID:3083|DOID:3310|DOID:4450|DOID:4483|DOID:557|DOID:5844|DOID:612|DOID:684|DOID:718|DOID:7188|DOID:7442|DOID:783|DOID:820|DOID:8893|DOID:9074|DOID:9119|DOID:9383|DOID:9538|DOID:9744|DOID:986
A0A096MJG3	A0A096MJG3	ENSRNOG00000014464	Tnfsf13b	DOID:12894|DOID:2986
A0A096MJG5	A0A096MJG5	ENSRNOG00000033527	Pappa1	DOID:10763|DOID:2349|DOID:3393|DOID:3407|DOID:5844|DOID:90|DOID:9352
A0A096MJM7	A0A096MJM7	ENSRNOG00000020339	Neurl1	DOID:11832
