id	name
A0A023IKK2	A0A023IKK2
A0A087WPC3	A0A087WPC3
A0A087WPF7	AUTS2
A0A087WQ44	A0A087WQ44
A0A087WR14	A0A087WR14
A0A087WR99	A0A087WR99
A0A087WS15	A0A087WS15
A0A087WSS0	A0A087WSS0
A0A096MIX7	A0A096MIX7
A0A096MJ56	A0A096MJ56
A0A096MJ68	A0A096MJ68
A0A096MJB5	A0A096MJB5
A0A096MJE4	A0A096MJE4
A0A096MJF9	A0A096MJF9
A0A096MJG3	A0A096MJG3
A0A096MJG5	A0A096MJG5
A0A096MJH9	A0A096MJH9
A0A096MJM7	A0A096MJM7
A0A096MJN4	SEPT4
A0A096MJP9	A0A096MJP9
A0A096MJS9	A0A096MJS9
A0A096MJT6	A0A096MJT6
A0A096MJU6	A0A096MJU6
A0A096MJX4	A0A096MJX4
A0A096MJY1	A0A096MJY1
A0A096MJY4	MEF2C
A0A096MJZ0	DNAL1
A0A096MK15	A0A096MK15
A0A096MK39	A0A096MK39
A0A096MK89	A0A096MK89
A0A096MK92	A0A096MK92
A0A096MKE9	A0A096MKE9
A0A096MKF8	A0A096MKF8
A0A096MKI3	A0A096MKI3
A0A096UWG9	A0A096UWG9
A0A0A0MY14	A0A0A0MY14
A0A0A0MY24	A0A0A0MY24
A0A0B4J1F6	A0A0B4J1F6
A0A0B4J1G0	FCG3A
A0A0G2JDS2	A0A0G2JDS2
A0A0G2JSI4	A0A0G2JSI4
A0A0G2JSK1	A0A0G2JSK1
A0A0G2JST1	A0A0G2JST1
A0A0G2JSV3	A0A0G2JSV3
A0A0G2JSV6	A0A0G2JSV6
A0A0G2JT03	A0A0G2JT03
A0A0G2JT53	A0A0G2JT53
A0A0G2JT63	A0A0G2JT63
A0A0G2JT78	A0A0G2JT78
A0A0G2JT82	A0A0G2JT82
A0A0G2JT90	A0A0G2JT90
A0A0G2JTB2	A0A0G2JTB2
A0A0G2JTI7	A0A0G2JTI7
A0A0G2JTM3	A0A0G2JTM3
A0A0G2JTM7	A0A0G2JTM7
A0A0G2JTM9	A0A0G2JTM9
A0A0G2JTN4	A0A0G2JTN4
A0A0G2JTU1	A0A0G2JTU1
A0A0G2JTU9	A0A0G2JTU9
A0A0G2JTY3	A0A0G2JTY3
A0A0G2JTZ2	SOX6
A0A0G2JU05	A0A0G2JU05
A0A0G2JU25	A0A0G2JU25
A0A0G2JU33	A0A0G2JU33
A0A0G2JU45	A0A0G2JU45
A0A0G2JUA5	A0A0G2JUA5
A0A0G2JUC9	A0A0G2JUC9
A0A0G2JUD0	A0A0G2JUD0
A0A0G2JUG7	IQEC1
A0A0G2JUH4	A0A0G2JUH4
A0A0G2JUJ3	A0A0G2JUJ3
A0A0G2JUJ9	A0A0G2JUJ9
A0A0G2JUM3	A0A0G2JUM3
A0A0G2JUM8	A0A0G2JUM8
A0A0G2JUT7	A0A0G2JUT7
A0A0G2JUV5	A0A0G2JUV5
A0A0G2JUZ0	A0A0G2JUZ0
A0A0G2JUZ5	A0A0G2JUZ5
A0A0G2JV04	GGA3
A0A0G2JV24	A0A0G2JV24
A0A0G2JVA5	A0A0G2JVA5
A0A0G2JVA8	A0A0G2JVA8
A0A0G2JVC1	A0A0G2JVC1
A0A0G2JVD9	A0A0G2JVD9
A0A0G2JVH5	A0A0G2JVH5
A0A0G2JVQ2	A0A0G2JVQ2
A0A0G2JVS9	A0A0G2JVS9
A0A0G2JVW6	A0A0G2JVW6
A0A0G2JVY4	A0A0G2JVY4
A0A0G2JVZ6	A0A0G2JVZ6
A0A0G2JW03	A0A0G2JW03
A0A0G2JW23	A0A0G2JW23
A0A0G2JW59	A0A0G2JW59
A0A0G2JW72	A0A0G2JW72
A0A0G2JW78	A0A0G2JW78
A0A0G2JW79	A0A0G2JW79
A0A0G2JWB6	A0A0G2JWB6
A0A0G2JWC7	A0A0G2JWC7
A0A0G2JWD0	A0A0G2JWD0
A0A0G2JWD6	A0A0G2JWD6
A0A0G2JWE9	A0A0G2JWE9
A0A0G2JWF0	A0A0G2JWF0
A0A0G2JWF7	A0A0G2JWF7
A0A0G2JWG1	A0A0G2JWG1
A0A0G2JWG6	A0A0G2JWG6
A0A0G2JWH3	A0A0G2JWH3
A0A0G2JWL4	A0A0G2JWL4
A0A0G2JWM7	A0A0G2JWM7
A0A0G2JWR6	A0A0G2JWR6
A0A0G2JWT6	A0A0G2JWT6
A0A0G2JWX9	A0A0G2JWX9
A0A0G2JWY8	A0A0G2JWY8
A0A0G2JX01	A0A0G2JX01
A0A0G2JX23	A0A0G2JX23
A0A0G2JX31	A0A0G2JX31
A0A0G2JX72	A0A0G2JX72
A0A0G2JX93	A0A0G2JX93
A0A0G2JX95	A0A0G2JX95
A0A0G2JXC5	A0A0G2JXC5
A0A0G2JXD6	A0A0G2JXD6
A0A0G2JXH7	A0A0G2JXH7
A0A0G2JXI1	A0A0G2JXI1
A0A0G2JXI7	A0A0G2JXI7
A0A0G2JXJ1	A0A0G2JXJ1
A0A0G2JXP3	A0A0G2JXP3
A0A0G2JXR2	A0A0G2JXR2
A0A0G2JXT6	MTMR6
A0A0G2JXT8	A0A0G2JXT8
A0A0G2JXZ4	A0A0G2JXZ4
A0A0G2JXZ9	A0A0G2JXZ9
A0A0G2JY07	A0A0G2JY07
A0A0G2JY26	A0A0G2JY26
A0A0G2JY48	A0A0G2JY48
A0A0G2JY58	A0A0G2JY58
A0A0G2JY62	A0A0G2JY62
A0A0G2JYD6	A0A0G2JYD6
A0A0G2JYE6	A0A0G2JYE6
A0A0G2JYF9	A0A0G2JYF9
A0A0G2JYI0	A0A0G2JYI0
A0A0G2JYM0	A0A0G2JYM0
A0A0G2JYU3	A0A0G2JYU3
A0A0G2JYZ1	A0A0G2JYZ1
A0A0G2JZ04	A0A0G2JZ04
A0A0G2JZ71	A0A0G2JZ71
A0A0G2JZ79	SIR1
A0A0G2JZ84	A0A0G2JZ84
A0A0G2JZA1	A0A0G2JZA1
A0A0G2JZD5	A0A0G2JZD5
A0A0G2JZE8	A0A0G2JZE8
