id,Associated Disease
1,11-Beta-hydroxylase deficiency
2,12q14 microdeletion syndrome
3,14q12 microdeletion syndrome
4,15q11q13 microduplication syndrome
5,15q14 microdeletion syndrome
6,15q24 Microdeletion
7,16q24.3 microdeletion syndrome
8,17-beta hydroxysteroid dehydrogenase 3 deficiency
9,17-Hydroxysteroid Dehydrogenase Deficiency
10,"17,20-Lyase Deficiency, Isolated"
11,17p11.2 Monosomy
12,17q11.2 microduplication syndrome
13,18-Hydroxylase deficiency
14,1p21.3 microdeletion syndrome
15,1q44 microdeletion syndrome
16,2-aminoadipic 2-oxoadipic aciduria
17,2-hydroxyglutaric aciduria
18,2-methyl-3-hydroxybutyric aciduria
19,2-methylbutyryl-CoA dehydrogenase deficiency
20,"2,8-Dihydroxyadenine Urolithiasis"
21,20p12.3 microdeletion syndrome
22,22q11 Deletion Syndrome
23,22q11 partial monosomy syndrome
24,22q11.2 deletion syndrome
25,2p21 microdeletion syndrome
26,2q23.1 microdeletion syndrome
27,2q37 microdeletion syndrome
28,3 beta-Hydroxysteroid dehydrogenase deficiency
29,3-alpha-hydroxyacyl-CoA dehydrogenase deficiency
30,3-hydroxy-3-methylglutaric aciduria
31,3-hydroxy-3-methylglutaryl-CoA synthase deficiency
32,3-hydroxyacyl-CoA dehydrogenase deficiency
33,3-hydroxyisobutyryl-CoA hydrolase deficiency
34,3-M syndrome
35,3-methylcrotonyl CoA carboxylase 2 deficiency
36,3-methylcrotonyl-CoA carboxylase 1 deficiency
37,3-methylcrotonyl-CoA carboxylase 2 deficiency
38,3-methylcrotonyl-CoA carboxylase deficiency
39,3-methylglutaconic aciduria
40,3-methylglutaconic aciduria type 1
41,3-methylglutaconic aciduria type 3
42,3-methylglutaconic aciduria type 5
43,3-methylglutaconic aciduria type 8
44,3-methylglutaconic aciduria type 9
45,"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia"
46,"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome"
47,"3-METHYLGLUTACONIC ACIDURIA, TYPE IX"
48,3-phosphoglycerate dehydrogenase deficiency
49,3b-Hydroxysteroid Dehydrogenase Deficiency
50,3M syndrome 1
51,3M syndrome 2
52,3M syndrome 3
53,3MC syndrome
54,3MC syndrome 1
55,3MC syndrome 2
56,3MC syndrome 3
57,3p- syndrome
58,46 XX gonadal dysgenesis
59,"46,XX disorder of sex development"
60,"46,XX ovarian dysgenesis-short stature syndrome"
61,"46,XX ovotesticular disorder of sex development"
62,"46,XX sex reversal 1"
63,"46,XX sex reversal 2"
64,"46,XX sex reversal 3"
65,"46,XX sex reversal 4"
66,"46,XX testicular disorder of sex development"
67,"46,XY complete gonadal dysgenesis"
68,"46,XY disorder of sex development"
69,"46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency"
70,"46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency"
